x_(px)  Y_(px)  Channel
296.71548 736.02521 2
296.88257 474.4847  1
297.07242 613.55402 1
297.70129 795.48163 1
297.90724 587.84506 1
297.99518 414.5338  1
298.19414 806.50291 2
298.24801 600.14499 2
299.08733 571.89875 2
299.97372 632.01704 1
300.35769 766.16243 1
300.47262 452.97091 1
301.24287 487.19326 2
301.81473 602.17034 1
302.51795 585.57704 2
303.83602 850.53286 1
304.16922 796.67123 2
305.12081 499.67318 2
305.28788 631.09682 1
305.44139 484.96354 1
307.54867 750.53328 1
307.80134 626.45168 2
308.01459 836.88368 1
309.32615 853.4057  2
309.54128 499.29816 1
311.2807  421.02532 2
311.77254 839.4048  2
311.98743 530.40857 2
312.7331  455.96218 2
312.95632 746.98244 2
313.44476 647.90887 2
313.47737 589.48871 1
313.77436 426.38026 1
314.99744 798.00245 1
314.99957 664.52626 2
315.06561 451.52382 1
315.99456 827.55739 1
316.52023 593.81111 2
317.7545  520.03522 2
317.90434 647.40123 1
318.88456 503.16152 2
319.01031 803.01715 2
319.45985 767.44718 2
319.57294 671.46004 1
319.62174 446.39118 2
319.95327 676.49096 2
319.99356 762.44855 1
320.18308 499.0747  1
320.46295 483.52098 1
320.71207 789.72298 2
320.72054 571.5577  1
320.83177 851.56105 2
321.07277 576.74231 2
321.88637 420.15215 1
322.00158 429.94595 1
323.94247 491.01872 1
323.97811 752.05971 1
324.21771 424.82992 2
324.65644 786.21033 1
325.2171  745.30724 2
325.46438 486.46226 2
325.77686 662.96203 1
326.46897 587.53336 2
326.99022 823.00896 1
327.70052 666.95245 2
328.09435 392.64026 2
328.53031 539.03143 2
328.88743 563.38784 2
328.96341 526.65747 2
328.98525 568.99283 1
330.3316  533.34671 1
330.54426 396.46051 1
330.91638 498.19763 2
331.09442 836.36685 1
331.13382 581.79253 1
332.47416 794.97611 1
332.99131 821.77796 2
333.11301 686.12977 2
333.13423 436.52644 2
333.26926 431.84147 1
333.45729 767.98927 1
335.2909  619.39588 2
335.46036 555.16694 1
335.60342 550.99783 2
336.583 798.27893 2
336.67255 833.85074 2
337.15273 682.44603 1
337.30663 783.08422 2
337.33028 582.98236 2
337.87011 516.1076  1
338.42293 639.56353 1
339.1069  768.13999 2
339.2172  612.56548 1
339.47887 519.56092 2
340.79163 642.78858 2
341.47079 650.00592 1
341.79364 530.45818 2
342.00063 378.1574  2
342.94029 404.05881 1
343.00575 601.0427  1
343.29173 629.69999 2
343.52831 384.01607 1
343.85028 615.20813 2
344.17  559.71032 1
344.37168 445.54442 2
344.50566 677.97499 2
344.81467 423.84695 1
345.04408 440.50437 1
345.29098 804.08357 2
345.37558 419.02365 2
